loan_id,borrower_id,loan_type,origination_date,maturity_date,original_principal,current_balance,interest_rate,term_months,borrower_state,loan_purpose,credit_grade,employment_length,income_band,payment_status,days_past_due,servicer_name,last_payment_date,last_updated_at,document_status
LN-00075,BR-03075,Student,2023-11-14,2030-11-14,347947,-244278.98,6.3,84,NY,Home improvement,B,10 years,$100k-$150k,Late,45,Harbor Servicing,2026-05-02,2026-07-10T00:00:00Z,Complete
LN-00076,BR-03076,Student,2021-03-18,2051-03-19,408848,429134,4.76,360,CO,Education,D,10 years,$75k-$100k,Current,0,Northstar Servicing,2026-07-29,2026-07-09T00:00:00Z,Complete
LN-00077,BR-03077,Student,2022-04-24,2022-03-25,424487,119572.65,5.29,60,CA,Major purchase,D,5 years,$150k+,Current,0,Summit Financial,2026-07-13,2026-07-31T00:00:00Z,Complete
LN-00078,BR-03078,Personal,2021-07-08,2025-07-08,355709,169037.78,-2,48,NC,Debt consolidation,C,5 years,$100k-$150k,Current,0,Atlas Loan Co.,2026-04-19,2026-04-07T00:00:00Z,Complete
LN-00079,,Auto,2022-09-14,2027-09-14,119481,101081.38,7.81,60,VA,Debt consolidation,A,5 years,$75k-$100k,Current,0,Atlas Loan Co.,2026-05-04,2026-04-28T00:00:00Z,Complete
LN-00080,BR-03080,Student,2022-02-12,2025-02-12,not-a-number,211382.27,11.48,36,AZ,Debt consolidation,C,10 years,$50k-$75k,Late,45,Atlas Loan Co.,2026-07-21,2026-05-30T00:00:00Z,Partial
LN-00081,BR-03081,Personal,2024-07-25,2031-07-26,187986,N/A,7.53,84,TX,Medical,C,10 years,$50k-$75k,Late,45,Summit Financial,2026-07-28,2026-06-08T00:00:00Z,Complete
LN-00082,BR-03082,Personal,2025-01-06,2030-01-06,58975,24378.68,4.71,60,GA,Debt consolidation,A,12 years,$50k-$75k,Late,thirty,Pioneer Credit,2026-04-04,2026-04-25T00:00:00Z,Complete
LN-00083,BR-03083,Mortgage,2023-04-16,2027-04-16,499166,74874.9,11.77,48,GA,Major purchase,A,2 years,$75k-$100k,Closed,45,Northstar Servicing,2026-07-25,2026-06-08T00:00:00Z,Complete
LN-00084,BR-03084,Mortgage,2021-01-26,2026-01-26,185864,128876.98,9.28,60,VA,Medical,D,12 years,$100k-$150k,Current,60,Northstar Servicing,2026-04-27,2026-07-31T00:00:00Z,Partial
LN-00085,BR-03085,Personal,2023-07-19,2038-07-19,236769,107574.45,11.73,180,WA,Home improvement,B,12 years,$150k+,Current,0,Harbor Servicing,2026-04-24,2026-06-16T00:00:00Z,
LN-00086,BR-03086,Mortgage,2025-01-29,2035-01-30,311815,174343.62,7.73,120,OH,Debt consolidation,A,7 years,$100k-$150k,Current,0,Pioneer Credit,2026-07-25,2024-01-15T10:00:00Z,Complete
LN-00087,BR-03087,Mortgage,2023-02-27,2026-02-27,144012,81650.55,10.9,36,ZZ,Medical,B,2 years,$150k+,Late,45,Blue Ridge Servicing,2026-05-04,2026-07-01T00:00:00Z,Complete
LN-00088,BR-03088,Personal,2022-12-24,2024-12-24,-442931,258419.09,6.51,24,GA,Debt consolidation,B,12 years,$75k-$100k,Current,0,Northstar Servicing,2026-07-08,2026-07-13T00:00:00Z,Complete
LN-00089,BR-03089,Home Equity,2021-12-07,2051-12-08,368309,390617,6.8,360,NY,Medical,B,2 years,$75k-$100k,Current,0,Blue Ridge Servicing,2026-07-06,2026-07-26T00:00:00Z,Complete
LN-00090,BR-03090,Installment,2023-02-11,2023-01-12,82303,0,5.43,72,PA,Auto purchase,D,12 years,$100k-$150k,Closed,0,Blue Ridge Servicing,2026-07-01,2026-06-21T00:00:00Z,Complete
LN-00091,BR-03091,Student,2022-04-14,2042-04-15,486358,268368.83,24,240,MA,Home improvement,A,7 years,$50k-$75k,Current,0,Harbor Servicing,2026-04-08,2026-05-22T00:00:00Z,Complete
,BR-03092,Personal,2021-03-06,2024-03-06,283538,208997.87,7.66,36,WA,Home improvement,B,2 years,$100k-$150k,Current,0,Atlas Loan Co.,2026-05-20,2026-07-14T00:00:00Z,Complete
LN-00001,BR-03093,Home Equity,2023-01-12,2030-01-12,45017,15167.84,6.45,84,MD,Education,D,3 years,$50k-$75k,Current,0,Harbor Servicing,2026-07-03,2026-07-02T00:00:00Z,Complete
LN-00094,BR-03001,Mortgage,2022-02-13,2026-01-23,487682,20119.99,8.0,60,TX,Education,B,12 years,$50k-$75k,Current,0,Northstar Servicing,2026-07-14,2026-04-19T00:00:00Z,Partial
LN-00095,BR-03095,Auto,2026-99-40,2025-01-09,336136,257904.34,10.59,24,MD,Medical,A,3 years,$150k+,Delinquent,30,Northstar Servicing,2026-06-12,2026-06-22T00:00:00Z,Complete
LN-00096,BR-03096,Home Equity,2022-12-01,not-a-date,153410,79203.53,5.43,360,WA,Major purchase,A,7 years,$150k+,Current,0,Blue Ridge Servicing,2026-04-12,2026-07-15T00:00:00Z,Complete
LN-00097,BR-03097,Auto,2024-01-10,2054-01-10,131279,19691.85,10.66,360,NY,Medical,B,2 years,$75k-$100k,Closed,0,Pioneer Credit,2026-07-01,2026-04-23T00:00:00Z,Complete
LN-00098,BR-03098,Auto,2023-03-10,2026-03-10,123087,64325.74,12.22,36,PA,Major purchase,C,10 years,$75k-$100k,Current,30,Blue Ridge Servicing,2026-05-13,2026-07-03T00:00:00Z,Complete
LN-00099,BR-03099,Installment,2022-11-01,2032-11-01,419106,107664.87,9.32,120,PA,Debt consolidation,B,12 years,$150k+,Late,15,Blue Ridge Servicing,2026-07-11,2026-06-07T00:00:00Z,
LN-00100,BR-03100,Installment,2022-03-08,2032-03-08,372883,179681.08,10.6,120,NJ,Auto purchase,B,12 years,$150k+,Current,0,Pioneer Credit,2026-05-21,2024-01-15T10:00:00Z,Complete
LN-00101,BR-03101,Home Equity,2025-01-24,2032-01-25,234207,125256.25,6.27,84,MN,Major purchase,A,7 years,$150k+,Current,0,Summit Financial,2026-07-24,2026-04-12T00:00:00Z,Complete
LN-00102,BR-03102,Mortgage,2022-01-26,2052-01-27,438744,311033.5,8.85,360,IL,Auto purchase,D,2 years,$50k-$75k,Current,0,Harbor Servicing,2026-04-14,2026-04-24T00:00:00Z,Complete
LN-00103,BR-03103,Home Equity,2023-06-25,2028-06-24,94927,52918.46,7.03,60,NC,Debt consolidation,A,7 years,$150k+,Current,0,Harbor Servicing,2026-05-31,2026-04-16T00:00:00Z,Complete
LN-00104,BR-03104,Installment,2023-09-11,2033-09-11,329301,185755.67,4.71,120,MD,Education,A,2 years,$150k+,Current,0,Pioneer Credit,2026-06-01,2026-04-20T00:00:00Z,Complete
LN-00105,BR-03105,Student,2024-08-23,2039-08-24,166236,0,7.6,180,MI,Auto purchase,D,3 years,$100k-$150k,Closed,0,Northstar Servicing,2026-05-22,2026-07-05T00:00:00Z,Complete
LN-00106,BR-03106,Personal,2022-06-27,2028-06-27,364368,227332.81,10.68,72,PA,Major purchase,D,12 years,$150k+,Current,0,Atlas Loan Co.,2026-05-17,2026-07-08T00:00:00Z,Complete
LN-00107,BR-03107,Personal,2022-06-14,2027-06-14,245019,214987.91,7.49,60,CA,Auto purchase,C,12 years,$150k+,Current,0,Summit Financial,2026-05-29,2026-05-12T00:00:00Z,Partial
LN-00108,BR-03108,Mortgage,2024-09-15,2030-09-16,185670,85077.96,9.6,72,FL,Education,C,5 years,$150k+,Current,0,Harbor Servicing,2026-07-09,2026-05-29T00:00:00Z,Complete
LN-00109,BR-03109,Auto,2023-07-09,2033-07-09,230180,203689.7,5.4,120,MI,Major purchase,D,7 years,$75k-$100k,Current,0,Pioneer Credit,2026-04-18,2026-06-20T00:00:00Z,Complete
LN-00110,BR-03110,Home Equity,2022-04-12,2029-04-12,476030,334686.28,11.12,84,NC,Medical,C,3 years,$100k-$150k,Current,0,Atlas Loan Co.,2026-05-06,2026-07-22T00:00:00Z,Complete
LN-00111,BR-03111,Mortgage,2023-09-11,2038-09-11,313870,149175.13,5.64,180,MD,Education,D,12 years,$100k-$150k,Late,90,Atlas Loan Co.,2026-04-08,2026-07-21T00:00:00Z,Complete
LN-00112,BR-03112,Student,2023-08-17,2029-08-17,240867,103705.8,8.19,72,TN,Debt consolidation,C,10 years,$75k-$100k,Current,0,Pioneer Credit,2026-07-12,2026-05-23T00:00:00Z,Complete
LN-00113,BR-03113,Mortgage,2022-12-27,2032-12-27,24254,6524.69,6.16,120,TN,Auto purchase,C,5 years,$150k+,Current,0,Harbor Servicing,2026-04-15,2026-05-14T00:00:00Z,Complete
LN-00114,BR-03114,Student,2022-11-29,2025-11-29,297229,156701.62,8.64,36,CO,Education,C,2 years,$100k-$150k,Current,0,Harbor Servicing,2026-05-22,2026-07-14T00:00:00Z,Complete
LN-00115,BR-03115,Home Equity,2023-11-29,2026-11-29,156024,96403.02,11.54,36,MI,Auto purchase,D,3 years,$50k-$75k,Current,0,Summit Financial,2026-07-16,2026-07-27T00:00:00Z,Complete
LN-00116,BR-03116,Installment,2022-04-03,2037-04-03,481368,336792.11,10.06,180,NJ,Home improvement,A,12 years,$100k-$150k,Current,0,Blue Ridge Servicing,2026-07-08,2026-05-04T00:00:00Z,Complete
LN-00117,BR-03117,Personal,2022-08-10,2026-08-10,153482,46020.37,4.61,48,PA,Debt consolidation,C,2 years,$75k-$100k,Current,0,Northstar Servicing,2026-05-12,2026-04-27T00:00:00Z,Complete
LN-00118,BR-03118,Installment,2022-07-05,2027-07-05,167181,95458.07,3.99,60,WA,Major purchase,B,5 years,$75k-$100k,Current,0,Summit Financial,2026-04-14,2026-06-01T00:00:00Z,Complete
LN-00119,BR-03119,Personal,2023-04-01,2028-03-31,285747,148262.67,11.0,60,NY,Education,A,12 years,$100k-$150k,Current,0,Summit Financial,2026-04-20,2026-06-17T00:00:00Z,Complete
LN-00120,BR-03120,Auto,2025-01-30,2035-01-31,193915,62141.4,6.26,120,OR,Auto purchase,A,10 years,$50k-$75k,Current,0,Northstar Servicing,2026-07-11,2026-06-14T00:00:00Z,Complete
LN-00121,BR-03121,Mortgage,2024-11-02,2029-11-02,475478,353109.44,3.69,60,CA,Debt consolidation,A,12 years,$75k-$100k,Current,0,Atlas Loan Co.,2026-06-02,2026-04-25T00:00:00Z,Complete
LN-00122,BR-03122,Auto,2023-06-22,2028-06-21,352741,250084.7,3.57,60,AZ,Debt consolidation,D,3 years,$50k-$75k,Current,0,Summit Financial,2026-06-10,2026-07-27T00:00:00Z,Complete
LN-00123,BR-03123,Installment,2024-05-26,2031-05-27,36162,0,11.55,84,VA,Major purchase,A,7 years,$75k-$100k,Closed,0,Atlas Loan Co.,2026-04-18,2026-04-12T00:00:00Z,Complete
LN-00124,BR-03124,Mortgage,2022-01-19,2029-01-19,302988,89278.51,9.07,84,PA,Medical,C,5 years,$75k-$100k,Current,0,Northstar Servicing,2026-07-17,2026-05-02T00:00:00Z,Complete
LN-00125,BR-03125,Installment,2022-12-18,2028-12-18,280499,107979.61,6.7,72,GA,Major purchase,A,7 years,$50k-$75k,Current,0,Harbor Servicing,2026-05-13,2026-06-03T00:00:00Z,Complete
LN-00126,BR-03126,Auto,2023-11-28,2029-11-28,276349,140882.13,5.5,72,NC,Debt consolidation,B,2 years,$50k-$75k,Current,0,Harbor Servicing,2026-06-03,2026-07-11T00:00:00Z,Complete
LN-00127,BR-03127,Installment,2023-10-06,2028-10-05,181661,77241.78,7.06,60,MN,Home improvement,D,12 years,$100k-$150k,Late,15,Atlas Loan Co.,2026-07-05,2026-06-23T00:00:00Z,Complete
LN-00128,BR-03128,Mortgage,2023-05-31,2027-05-31,59042,18177.35,9.52,48,NC,Auto purchase,D,2 years,$150k+,Current,0,Harbor Servicing,2026-07-05,2026-07-18T00:00:00Z,Complete
